@relation name

@attribute #1_id string
@attribute #1_span string
@attribute #1_perseus:LEMMA string
@attribute #1_perseus:case string
@attribute #1_perseus:cite string
@attribute #1_perseus:form string
@attribute #1_perseus:gender string
@attribute #1_perseus:number string
@attribute #1_perseus:part-of-speech string
@attribute #1_perseus:postag string
@attribute #1_perseus:sense string
@attribute #1_perseus:urn string
@attribute #1_saltSemantics:POS string

@data

'548299','quae','qui','nominative','NULL','quae','feminine','plural','pronoun','p-p---fn-','1','NULL','pronoun'
'1044471','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'592393','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1039056','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'548294','quae','qui','nominative','NULL','quae','feminine','plural','pronoun','p-p---fn-','1','NULL','pronoun'
'353467','quae','qui','nominative','NULL','quae','feminine','plural','pronoun','p-p---fn-','1','NULL','pronoun'
'998720','quae','qui','nominative','NULL','quae','neuter','plural','pronoun','p-p---nn-','1','NULL','pronoun'
'592385','Quam','qui','accusative','NULL','Quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'598202','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'1042830','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'1042817','quoi','qui','dative','NULL','quoi','masculine','singular','pronoun','p-s---md-','1','NULL','pronoun'
'1417204','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'1046647','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'590473','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'353494','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1417232','cui','qui','dative','NULL','cui','masculine','singular','pronoun','p-s---md-','1','NULL','pronoun'
'550376','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'548264','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'598235','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'548283','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'353478','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'550389','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1042797','quos','qui','accusative','NULL','quos','masculine','plural','pronoun','p-p---ma-','1','NULL','pronoun'
'1039027','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'1036841','quas','qui','accusative','NULL','quas','feminine','plural','pronoun','p-p---fa-','1','NULL','pronoun'
'568124','Qui','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.540\'>Text<\/a>','Qui','masculine','singular','pronoun','p-s---mn-','1','urn:cts:latinLit:phi0959.phi006:1.540','pronoun'
'352002','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'353395','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'996717','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'1042908','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'550467','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1036829','quibus','qui','ablative','NULL','quibus','masculine','plural','pronoun','p-p---mb-','1','NULL','pronoun'
'589504','quae','qui','nominative','NULL','quae','feminine','plural','pronoun','p-p---fn-','1','NULL','pronoun'
'353401','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'552657','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'355322','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'355327','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
