CASE,WORK,SENT-ADDR,TOK-ADDR,LEM,TYPEA,TYPEB,SENTLEN,WORKLEN
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|1,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|1|6,capio,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|2,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,donec,temporal,hypo,23,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|2,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|2|4,deicio,main,main,23,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|2,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|2|10,premo,main,main,23,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|3,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,15,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|3,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|3|11,cum,temporal,hypo,15,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|3,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|3|8,deficio,main,main,15,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|4,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|4|10,contundo,main,main,9,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|5,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|5|5,erro,main,main,13,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|5,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|5|9,eo,main,main,13,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|6,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|6|10,ingemo,main,main,10,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|7,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|7|1,ergo,causal,para,5,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|7,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|7|3,possum,main,main,5,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|8,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|8|8,valeo,main,main,8,4393
