CASE,MAIN,SUB
1,1,0
2,2,1
3,1,1
4,1,0
5,2,0
6,1,0
7,1,0
8,1,0
9,2,0
10,3,1
11,1,0
12,1,0
13,2,0
14,2,1
15,2,0
16,2,0
17,2,0
18,2,0
19,1,1
20,2,0
21,2,0
22,1,0
23,1,1
24,2,0
25,2,0
26,1,0
27,1,0
28,2,0
29,1,0
30,1,1
31,1,1
32,1,1
33,1,1
34,0,1
35,0,1
36,0,1
37,1,1
38,1,0
39,1,1
40,1,1
41,2,0
42,1,0
43,1,0
44,1,0
45,1,3
46,0,1
47,1,0
48,1,0
49,1,0
50,1,1
51,2,0
52,1,0
53,0,1
54,1,0
55,1,0
56,1,1
57,1,3
58,1,0
59,1,1
60,1,0
61,1,0
62,0,0
63,2,0
64,1,0
65,2,0
66,2,0
67,2,0
68,1,0
69,2,1
70,1,1
71,3,0
72,2,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,1
79,2,0
80,1,0
81,1,3
82,1,1
83,1,1
84,1,0
85,1,0
86,1,1
87,1,1
88,1,0
89,1,1
90,1,0
91,1,0
92,2,0
93,2,0
94,1,0
95,1,1
96,1,1
97,2,0
98,2,0
99,1,0
100,1,0
101,1,0
102,2,0
103,1,0
104,2,2
105,1,1
106,4,2
107,1,0
108,3,0
109,1,0
110,2,0
111,2,1
112,2,0
113,2,0
114,2,0
115,1,1
116,1,0
117,2,0
118,1,0
119,1,2
120,2,0
121,2,0
122,4,0
123,1,2
124,1,2
125,2,0
126,3,0
127,2,2
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,1
134,1,0
135,3,0
136,1,1
137,1,1
138,1,0
139,2,0
140,1,0
141,1,0
142,1,2
143,1,0
144,1,0
145,1,0
146,3,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,4,0
154,1,1
155,1,0
156,2,0
157,1,0
158,1,0
159,1,1
160,1,1
161,1,2
162,1,1
163,1,1
164,2,0
165,1,1
166,1,1
167,0,1
168,1,1
169,1,1
170,1,0
171,1,1
172,2,0
173,2,0
174,2,0
175,1,1
176,1,0
177,1,1
178,2,1
179,2,1
180,2,0
