CASE,MAIN,SUB
1,1,0
2,1,0
3,1,0
4,0,0
5,2,0
6,1,5
7,0,0
8,2,0
9,1,0
10,1,0
11,4,0
12,1,1
13,1,0
14,1,0
15,1,0
16,1,1
17,2,2
18,2,0
19,2,0
20,6,0
21,1,2
22,1,0
23,2,0
24,1,0
25,1,0
26,1,0
27,1,0
28,2,0
29,3,0
30,2,0
31,1,0
32,2,4
33,1,1
34,1,1
35,2,3
36,2,1
37,1,3
38,3,0
39,1,0
40,1,1
41,1,0
42,1,0
43,1,1
44,1,1
45,1,0
46,1,1
47,3,2
48,1,0
49,1,0
50,2,0
51,1,0
52,1,0
53,1,0
54,1,1
55,1,0
56,0,0
57,1,0
58,1,0
59,1,0
60,1,0
61,3,0
62,7,4
63,1,0
64,1,0
65,3,1
66,1,2
67,1,0
68,1,0
69,1,0
70,1,0
71,2,1
72,1,0
73,1,1
74,1,0
75,3,0
76,1,1
77,1,0
78,1,1
79,1,1
80,1,2
81,2,0
82,1,1
83,1,1
84,1,2
85,1,0
86,1,0
87,1,0
88,1,0
89,2,1
90,1,0
91,1,0
92,1,0
93,1,0
94,3,0
95,2,0
96,1,0
97,1,1
98,2,1
99,1,0
100,1,0
101,1,1
102,1,2
103,1,2
104,3,0
105,3,0
106,1,1
107,1,0
108,1,2
109,1,0
110,1,0
111,1,2
112,2,3
113,1,2
114,1,0
115,1,1
116,1,1
117,1,2
118,3,0
119,3,0
120,2,0
121,2,0
122,2,0
123,1,0
124,1,2
125,1,1
126,2,0
127,0,4
128,1,3
129,1,2
130,2,1
131,1,3
132,1,0
133,1,0
134,1,2
135,2,0
136,2,1
137,2,2
138,3,1
139,1,0
140,2,0
141,2,0
142,1,0
143,1,2
144,3,3
145,2,1
146,1,0
147,0,4
148,1,0
149,1,2
150,1,1
151,1,3
152,1,1
153,2,3
154,2,2
155,6,2
156,1,0
157,0,1
158,1,1
159,1,0
160,3,0
161,1,0
162,1,0
163,3,1
164,1,0
165,1,1
166,1,4
167,3,1
168,0,3
169,1,0
170,1,1
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,1
179,1,1
180,1,1
181,1,0
182,1,1
183,1,2
184,1,2
185,1,0
186,2,0
187,1,1
188,1,2
189,1,0
190,2,1
191,2,0
192,3,1
193,3,2
194,4,0
195,1,0
196,1,1
197,1,1
198,1,0
199,2,0
200,3,0
201,4,0
