#From sentence-stats.xq
WORK,SENT-ADDR,MAIN,PRED,PARENTH,O.R.,CUM,CUMQUE,UBI,UBI(QUE|)(NAM|),UBICUMQUE,QUANDO,DUM,DONEC,DUMMODO,MODO,ANTEQUAM,POSTEAQUAM,POSTMODUM QUAM,POSTQUAM,PRIUSQUAM,QUOTIENS,QUOTIENS(CUM|)QUE,QUATENUS,QUO,QUORSUM,UTROQUE,UBIUBI,QUOQUO,UNDECUMQUE,QUAQUA,SICUBI,SIQUO,SICUNDE,SIQUA,QUONIAM,QUOD,QUIA,ADV,COMP,ATR,SUB,SENTLEN,WORKLEN,GENRE,SUM,COORD,ASYND
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,4393,prose,1|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,4393,prose,1|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|10,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,28,4393,prose,0|1|1,2,0.666666666666666667
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,4393,prose,0|0|1,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,4393,prose,0|1|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,4393,prose,1|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,4393,prose,0|0|1,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,4393,prose,1|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4393,prose,0|0|0,2,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,25,4393,prose,0|2|0,2,2
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4393,prose,0|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,4393,prose,0|1|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,4393,prose,1|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|32,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,26,4393,prose,1|0|2,4,4
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,4393,prose,1|0|0,0,0
