#parenth-lens.xq
WORK,SENT.ADDR,PARENLEN,NORMLEN,SENTLEN
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|1,0,0,11
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|2,0,0,23
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|3,0,0,15
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|4,0,0,9
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|5,0,0,13
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|6,0,0,10
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|7,0,0,5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|8,0,0,8
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|9,0,0,15
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|10,3,0.107142857142857143,28
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|11,0,0,12
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|12,0,0,12
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|13,0,0,14
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|14,0,0,15
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15,0,0,14
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|16,0,0,13
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|17,1,0.25,4
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|18,0,0,9
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|19,0,0,13
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|20,0,0,36
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|21,2,0.25,8
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|22,0,0,6
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|23,0,0,25
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|24,0,0,11
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|25,0,0,11
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|26,0,0,11
